ParticipantID,TrialNumber,LevelDistanceTraveled,grid_distance,human_distance
418,14,12.2,13.8,11.97
418,15,5.89,6.7,4.75
418,16,9.55,10.24,9.9
418,17,12.35,13.5,11.92
418,18,11.7,12.64,12.09
418,19,11.42,11.7,9.68
418,20,12.97,15.34,12.59
418,21,12.73,14.7,12.52
418,22,5.63,7.4,6.02
418,23,11.94,14.4,12.15
418,24,15.25,17.3,15.73
440,1,7.95,9.5,7.22
440,2,5.78,5.9,5.04
440,3,12.42,11.8,9.73
440,4,14.19,16.5,13.53
440,5,20.47,21.4,18.8
440,6,8.53,9.8,7.7
440,7,11.14,12.4,10.44
440,8,5.05,5.6,4.38
440,9,17.16,24.02,16.28
440,10,6.22,7.5,5.46
440,11,11.96,12.2,11.09
440,12,7.29,7.5,7.03
440,13,13.2,16.6,12.91
440,14,4.69,4.8,4.22
440,15,5.4,6.7,4.52
440,16,7.75,10.24,6.88
440,17,7.68,8.5,6.55
440,18,11.55,11.4,10.13
440,19,10.9,11.3,10.57
440,20,6.19,6.7,5.54
440,21,12.02,12.3,11.7
440,22,10.24,11.6,9.73
440,23,11.7,11.8,10.56
440,24,14.83,16.7,14.5
442,1,9.17,9.5,7.94
442,2,21.63,26.5,21.97
442,3,11.66,11.8,9.86
442,4,7.77,7.1,6.34
442,5,7.03,6.6,5.55
442,6,10.0,9.24,8.55
442,7,7.84,8.4,6.72
442,8,5.17,5.6,4.54
442,9,7.59,8.4,7.03
442,10,11.76,12.74,10.99
442,11,9.5,10.4,8.44
442,12,13.44,15.5,12.16
442,13,6.0,6.6,5.18
442,14,5.44,5.0,4.21
442,15,16.2,17.3,14.63
442,16,13.72,14.0,12.12
442,17,22.3,33.23,26.6
442,18,12.49,13.2,11.45
442,19,19.42,25.83,23.47
442,20,6.78,6.7,5.71
442,21,7.14,8.3,6.37
442,22,7.37,9.2,6.17
442,23,10.98,10.2,9.88
442,24,21.25,26.1,23.73
419,1,7.3,9.5,6.91
419,2,4.81,5.9,4.66
419,3,9.63,10.65,10.03
419,4,5.32,5.7,5.12
419,5,3.88,4.2,3.45
419,6,7.68,9.2,7.2
419,7,7.0,8.4,7.18
419,8,4.67,5.6,4.24
419,9,5.6,6.6,5.08
419,10,6.76,7.5,6.56
419,11,5.74,6.4,5.79
419,12,5.48,5.1,4.57
419,13,5.72,6.6,5.37
419,14,5.42,6.6,4.61
419,15,3.81,4.9,3.42
419,16,3.85,5.0,3.23
419,17,8.9,10.1,8.34
419,18,7.95,9.2,8.42
419,19,7.76,9.5,6.91
419,20,5.71,6.7,5.79
419,21,7.21,8.3,6.26
419,22,6.23,7.4,5.71
419,23,7.52,8.6,7.39
419,24,4.79,5.7,4.26
420,1,10.45,13.5,10.41
420,2,27.89,33.9,27.99
420,3,9.79,11.2,10.0
420,4,25.8,29.54,25.89
420,5,10.26,12.2,9.73
420,6,15.6,17.4,15.42
420,7,6.67,8.4,6.96
420,8,6.85,7.8,5.96
420,9,11.82,16.8,10.92
420,10,6.43,7.5,6.96
420,11,17.03,19.64,17.06
420,12,13.14,15.5,12.29
420,13,7.64,8.8,7.65
420,14,27.61,31.2,27.88
420,15,11.64,13.1,10.51
420,16,11.35,12.2,10.99
