SubjectNum,TrialNum,Time,X,Z
446,15,507.9022,-1.149646,-2.898472
446,15,508.1245,-1.289903,-3.03565
446,15,508.3467,-1.462476,-3.131203
446,18,548.5356,1.727374,-1.076269
446,18,548.7578,1.73139,-1.069815
446,18,548.98,1.735939,-1.067514
446,18,549.2022,1.738354,-1.062958
446,18,549.4244,1.731263,-1.0585
446,18,549.6467,1.715545,-1.055869
446,18,549.8689,1.69757,-1.051232
446,18,550.0911,1.666232,-1.04048
446,18,550.3134,1.577783,-1.042159
446,18,550.5356,1.439373,-1.042347
446,18,550.7578,1.289525,-1.011009
446,18,550.98,1.139274,-0.9445356
446,18,551.2022,0.9894601,-0.8735629
446,18,551.4244,0.8263302,-0.8368969
446,18,551.6467,0.6283258,-0.8217913
446,18,551.8689,0.4374098,-0.7841628
446,18,552.0911,0.2964754,-0.7068752
446,18,552.3134,0.1948864,-0.5750374
446,18,552.5356,0.1189184,-0.4228411
446,18,552.7578,0.05844324,-0.252781
446,18,552.98,-0.005402258,-0.0724485
446,18,553.2022,-0.04401817,0.08800167
446,18,553.4244,-0.06602173,0.2559533
446,18,553.6467,-0.08327608,0.4480919
446,18,553.8689,-0.146975,0.5960085
446,18,554.0911,-0.2473731,0.698565
446,18,554.3134,-0.40136,0.7673335
446,18,554.5356,-0.5813233,0.8383285
446,18,554.7578,-0.807326,0.9375054
446,18,554.98,-1.052937,1.003438
446,18,555.2022,-1.30001,1.008906
446,18,555.4244,-1.548257,0.976119
446,18,555.6467,-1.785683,0.9398208
446,18,555.8689,-2.049379,0.9056807
446,18,556.0911,-2.280891,0.8423523
446,18,556.3134,-2.452187,0.7529615
446,18,556.5356,-2.581427,0.6366906
446,18,556.7578,-2.692338,0.5482169
446,10,591.9689,1.729009,1.083963
446,10,592.1911,1.728489,1.092962
446,10,592.4133,1.7222,1.104826
446,10,592.6356,1.721593,1.112387
446,10,592.8578,1.724416,1.113338
446,10,593.08,1.721397,1.103093
446,10,593.3022,1.716425,1.093422
446,10,593.5245,1.698472,1.085315
446,10,593.7467,1.626036,1.086958
446,10,593.9689,1.490923,1.104746
446,10,594.1911,1.326125,1.114543
446,10,594.4133,1.156472,1.091378
446,10,594.6356,0.9902349,1.03626
446,10,594.8578,0.8025954,0.9803087
446,10,595.08,0.6125051,0.9600518
446,10,595.3022,0.3987086,0.9761681
446,10,595.5245,0.1799491,0.9832959
446,10,595.7467,-0.03231889,0.9734898
446,10,595.9689,-0.2542634,0.9433789
446,10,596.1911,-0.467966,0.9294581
446,10,596.4133,-0.691704,0.9466419
446,10,596.6356,-0.9311941,0.976402
446,10,596.8578,-1.167214,0.9673005
446,10,597.08,-1.431462,0.9239652
446,10,597.3022,-1.698105,0.8728894
446,10,597.5245,-1.968298,0.8185521
446,10,597.7467,-2.234067,0.7357665
446,10,597.9689,-2.410952,0.5784467
446,10,598.1911,-2.502976,0.3816385
446,10,598.4133,-2.557406,0.1630379
446,10,598.6356,-2.601688,-0.08943187
446,10,598.8578,-2.640344,-0.3781114
446,10,599.08,-2.61425,-0.65801
446,10,599.3022,-2.559228,-0.9386408
446,10,599.5245,-2.552119,-1.193851
446,10,599.7467,-2.582747,-1.447327
446,10,599.9689,-2.61517,-1.664806
446,14,631.1245,-2.823883,0.02055735
446,14,631.3467,-2.815361,0.02052225
446,14,631.5689,-2.813601,0.01715101
446,14,631.7911,-2.809273,0.01303335
446,14,632.0134,-2.800623,0.005952788
446,14,632.2356,-2.768755,-0.02091447
446,14,632.4578,-2.745,-0.1133275
446,14,632.68,-2.725174,-0.2714444
446,14,632.9022,-2.674013,-0.4312997
446,14,633.1245,-2.593425,-0.5671678
446,14,633.3467,-2.460437,-0.6541386
446,14,633.5689,-2.3305,-0.7260417
446,14,633.7911,-2.202107,-0.8007824
446,14,634.0134,-2.059275,-0.8852558
446,14,634.2356,-1.877628,-0.9233186
446,14,634.4578,-1.663245,-0.9136602
446,14,634.68,-1.435982,-0.8931113
446,14,634.9022,-1.189754,-0.8870071
446,14,635.1245,-0.9307356,-0.9099226
446,14,635.3467,-0.7525296,-0.9606782
446,14,635.5689,-0.6283736,-0.9482528
446,14,635.7911,-0.4580326,-0.9190764
446,14,636.0134,-0.2176844,-0.9307358
446,14,636.2356,0.04911539,-0.9438044
446,14,636.4578,0.3085579,-0.9888734
446,14,636.68,0.5896405,-1.012838
446,14,636.9022,0.878519,-1.032921
446,14,637.1245,1.137868,-1.084871
446,14,637.3467,1.338372,-1.189364
446,14,637.5689,1.460838,-1.261916
446,14,637.7911,1.557954,-1.247494
446,14,638.0134,1.699136,-1.155954
446,14,638.2356,1.830004,-1.042717
446,14,638.4578,1.932904,-0.8563176
446,14,638.68,2.029167,-0.7967903
446,14,638.9022,2.142973,-0.8118789
446,14,639.1245,2.263113,-0.8412214
446,14,639.3467,2.382186,-0.8544916
446,14,639.5689,2.50729,-0.835933
446,14,639.7911,2.547318,-0.8424213
446,14,640.0134,2.518543,-0.8840701
446,14,640.2356,2.457506,-0.9115925
446,14,640.4578,2.427835,-0.9175218
446,14,640.68,2.369483,-0.8904561
446,14,640.9022,2.134629,-0.9352108
446,14,641.1245,1.798687,-0.9995782
446,14,641.3467,1.478325,-1.004477
446,14,641.5689,1.171404,-0.9550062
446,14,641.7911,0.8431467,-0.9123219
446,14,642.0134,0.497386,-0.8559654
446,14,642.2356,0.2525893,-0.6978698
446,2,680.2356,-2.644756,3.020148
446,2,680.4578,-2.620961,3.015016
446,2,680.68,-2.600098,3.009286
446,2,680.9022,-2.599368,2.998349
446,2,681.1245,-2.59859,2.979834
446,2,681.3467,-2.595184,2.953068
446,2,681.5689,-2.539423,2.948678
446,2,681.7911,-2.446142,2.985698
446,2,682.0134,-2.351887,2.990938
446,2,682.2356,-2.252995,2.975957
446,2,682.4578,-2.174786,2.955621
446,2,682.68,-2.083371,2.945917
446,2,682.9022,-1.917079,2.950905
446,2,683.1245,-1.694022,2.975267
446,2,683.3467,-1.464624,2.986681
446,2,683.5689,-1.229082,2.977468
446,2,683.7911,-1.007761,2.958998
446,2,684.0134,-0.7897798,2.936525
446,2,684.2356,-0.5968772,2.899216
446,2,684.4578,-0.421862,2.805596
446,2,684.68,-0.2923506,2.674045
446,2,684.9022,-0.1651096,2.554659
446,2,685.1245,-0.09428498,2.458536
446,2,685.3467,-0.03099868,2.265855
446,2,685.5689,0.008190703,2.058279
446,2,685.7911,0.05206747,1.827855
446,2,686.0134,0.1106736,1.572215
446,2,686.2356,0.2155733,1.374382
446,2,686.4578,0.3605589,1.241415
446,2,686.68,0.5147451,1.164209
446,2,686.9022,0.6641234,1.094653
446,2,687.1245,0.7525437,0.9904298
446,2,687.3467,0.6864097,0.957955
446,2,687.5689,0.5969225,1.017866
446,2,687.7911,0.4835944,1.036779
446,2,688.0134,0.386176,1.002164
446,2,688.2356,0.3026555,0.9228686
446,2,688.4578,0.2437606,0.7813348
446,2,688.68,0.1789528,0.634223
446,2,688.9022,0.09477851,0.5463674
446,2,689.1245,0.03738469,0.4868092
446,2,689.3467,0.0240866,0.4064137
446,2,689.5689,0.06153873,0.293628
446,16,714.6356,0.1502916,-0.06202884
446,16,714.8578,0.1477339,-0.05526205
446,16,715.08,0.1523809,-0.04351438
446,16,715.3022,0.1561081,-0.04059232
446,16,715.5245,0.1495591,-0.0459346
446,16,715.7467,0.1348719,-0.05953158
446,16,715.9689,0.1190287,-0.08684535
446,16,716.1911,0.1058476,-0.1354646
446,16,716.4133,0.1095221,-0.2322564
446,16,716.6356,0.1028522,-0.3538318
446,16,716.8578,0.07204881,-0.4612043
446,16,717.08,0.02817905,-0.5273439
446,16,717.3022,-0.03442444,-0.5552269
446,16,717.5245,-0.1047513,-0.6107249
446,16,717.7467,-0.1949547,-0.7086767
446,16,717.9689,-0.3121699,-0.8167406
446,16,718.1911,-0.470132,-0.8731982
446,16,718.4133,-0.6793762,-0.8829036
446,16,718.6356,-0.8941848,-0.892236
446,16,718.8578,-1.109508,-0.9141631
446,16,719.08,-1.34267,-0.9677019
446,16,719.3022,-1.578324,-1.00798
446,16,719.5245,-1.841765,-1.040108
446,16,719.7467,-2.101167,-1.120698
446,16,719.9689,-2.297657,-1.255681
446,16,720.1911,-2.451133,-1.4188
446,16,720.4133,-2.546681,-1.583414
